0 ;Diplomatisches Corps
ME ;Mettmann (NRW)
MEI ;Meißen (Sachs)
MEK ;Mittlerer Erzgebirgskreis (Sachs)
MER ;Merseburg (SaAn-)
MG ;Mönchengladbach (NRW)
MGN ;Meiningen (Thür-)
MH ;Mülheim/Ruhr (NRW)
MHL ;Mühlhausen (Thür-)
MI ;Minden-Lübbecke/Westfalen (NRW)
MIL ;Miltenberg (Bay)
MK ;Märkischer Kreis / Lüdenscheid (NRW)
MKK ;Main-Kinzig-Kreis (Hess)
ML ;Mansfelder Land (SaAn)
MM ;Memmingen (Bay)
MN ;Unterallgäu / Mindelheim (Bay)
MOL ;Märkisch-Oderland (Bran)
MOS ;Neckar-Odenwald-Kreis / Mosbach (BaWü)
MQ ;Merseburg-Querfurt (SaAn)
MR ;Marburg-Biedenkopf/Lahn (Hess)
MS ;Münster/Westfalen (NRW)
MSP ;Main-Spessart-Kreis / Karlstadt (Bay)
MST ;Mecklenburg-Strelitz (MeVo)
MTK ;Main-Taunus-Kreis / Hofheim (Hess)
MÜ ;Mühldorf am Inn (Bay)
MÜR ;Müritz (MeVo)
MVL ;Mecklenburg-Vorpommern Landesregierung und Landtag
MW ;Mittweida (Sachs)
MYK ;Mayen-Koblenz (RhPf)
MZ ;Mainz-Bingen und Mainz (RhPf)
MZG ;Merzig-Wadern (Saar)
N ;Nürnberg (Bay)
NAU ;Nauen (Bran-)
NB ;Neubrandenburg (MeVo)
ND ;Neuburg-Schrobenhausen/Donau (Bay)
NDH ;Nordhausen (Thür)
NE ;Neuss (NRW)
NEA ;Neustadt-Bad Windsheim/Aisch (Bay)
NEB ;Nebra/Unstrut (SaAn-)
NES ;Rhön-Grabfeld / Bad Neustadt/Saale (Bay)
NEW ;Neustadt/Waldnaab (Bay)
NF ;Nordfriesland / Husum (SlHo)
NH ;Neuhaus/Rennsteig (Thür-)
NI ;Nienburg/Weser (NiSa)
NK ;Neunkirchen/Saar (Saar)
NL ;Niedersachsen Landesregierung und Landtag
NM ;Neumarkt/Oberpfalz (Bay)
NMB ;Naumburg/Saale (SaAn-)
NMS ;Neumünster (SlHo)
NOH ;Grafschaft Bentheim / Nordhorn (NiSa)
NOL ;Niederschlesischer Oberlausitzkreis (Sachs)
NOM ;Northeim (NiSa)
NP ;Neuruppin (Bran-)
NR ;Neuwied/Rhein (RhPf)
NRW ;Nordrhein-Westfalen Landesregierung und Landtag
NU ;Neu-Ulm (Bay)
NVP ;Nordvorpommern (MeVo)
NW ;Neustadt/Weinstraße (RhPf)
NWM ;Nordwestmecklenburg (MeVo)
NY ;Niesky (Sachs-)
NZ ;Neustrelitz (MeVo-)
OA ;Oberallgäu / Sonthofen (Bay)
OAL ;Ostallgäu / Marktoberdorf (Bay)
OB ;Oberhausen/Rheinland (NRW)
OBG ;Osterburg (SaAn-)
OC ;Oschersleben (SaAn-)
OD ;Stormarn / Bad Oldesloe (SlHo)
OE ;Olpe (NRW)
OF ;Offenbach/Main (Hess)
OG ;Ortenaukreis / Offenburg (BaWü)
OH ;Ostholstein / Eutin (SlHo)
OHA ;Osterode/Harz (NiSa)
OHV ;Oranienburg Oberhavel (Bran)
OHZ ;Osterholz-Scharmbeck (NiSa)
OK ;Ohre-Kreis (SaAn)
OL ;Oldenburg (NiSa)
OPR ;Ostprignitz-Ruppin (Bran)
OR ;Oranienburg (Bran-)
OS ;Osnabrück (NiSa)
OSL ;Senftenberg - Oberspreewald-Lausitz (Bran)
OVL ;Obervogtland / Klingenthal und Ölsnitz (Sachs-)
OVP ;Ostvorpommern (MeVo)
OZ ;Oschatz (Sachs-)
P ;Potsdam (Bran)
PA ;Passau (Bay)
PAF ;Pfaffenhofen/Ilm (Bay)
PAN ;Rottal-Inn / Pfarrkirchen (Bay)
PB ;Paderborn (NRW)
PCH ;Parchim (MeVo)
PE ;Peine (NiSa)
PER ;Perleberg (Bran-)
PF ;Enzkreis und Pforzheim (BaWü)
PI ;Pinneberg (SlHo)
PIR ;Pirna - Sächsische Schweiz (Sachs)
PK ;Pritzwalk (Bran-)
PL ;Plauen (Sachs)
PLÖ ;Plön/Holstein (SlHo)
PM ;Belzig - Potsdam-Mittelmark (Bran)
PN ;Pössneck (Thür-)
PR ;Prignitz / Perleberg (Bran)
PS ;Pirmasens (RhPf)
PW ;Pasewalk (MeVo-)
PZ ;Prenzlau (Bran-)
QFT ;Querfurt (SaAn-)
QLB ;Quedlinburg (SaAn)
R ;Regensburg (Bay)
RA ;Rastatt (BaWü)
RC ;Reichenbach/Vogtland (Sachs-)
RD ;Rendsburg-Eckernförde (SlHo)
RDG ;Ribnitz-Damgarten (MeVo-)
RE ;Recklinghausen / Marl (NRW)
REG ;Regen (Bayr. Wald) (Bay)
RG ;Riesa-Großenhain (Sachs)
RH ;Roth/Rednitz (Bay)
RIE ;Riesa (Sachs-)
RL ;Rochlitz (Sachs-)
RM ;Röbel/Müritz (MeVo-)
RN ;Rathenow (Bran-)
RO ;Rosenheim (Bay)
ROS ;Rostock/Landkreis (MeVo-)
ROW ;Rotenburg/Wümme (NiSa)
RP ;Rhein-Pfalz-Kreis (RhPf)
RPL ;Rheinland-Pfalz Landesregierung und Landtag
RS ;Remscheid (NRW)
RSL ;Rosslau/Elbe (SaAn-)
RT ;Reutlingen (BaWü)
RU ;Rudolstadt (Thür-)
RÜD ;Rheingau-Taunus-Kreis / Rüdesheim (Hess)
RÜG ;Rügen / Bergen (MeVo)
RV ;Ravensburg (BaWü)
RW ;Rottweil (BaWü)
RZ ;Herzogtum Lauenburg / Ratzeburg (SlHo)
S ;Stuttgart (BaWü)
SAD ;Schwandorf (Bay)
SAL ;Saarland Landesregierung und Landtag
SAW ;Altmarkkreis - Salzwedel (SaAn)
SB ;Saarbrücken (Saar)
SBG ;Strasburg (MeVo-)
SBK ;Schönebeck/Elbe (SaAn)
SC ;Schwabach (Bay)
SCZ ;Schleiz (Thür-)
SDH ;Sondershausen (Thür-)
SDL ;Stendal (SaAn)
SDT ;Schwedt/Oder (Bran-)
SE ;Bad Segeberg (SlHo)
SEB ;Sebnitz (Sachs-)
SEE ;Seelow (Bran-)
SFA ;Soltau-Fallingbostel (NiSa)
SFB ;Senftenberg (Bran-)
SFT ;Stassfurt (SaAn-)
SG ;Solingen (NRW)
SGH ;Sangerhausen (SaAn)
SH ;Schleswig-Holstein Landesregierung und Landtag
SHA ;Schwäbisch Hall (BaWü)
SHG ;Schaumburg / Stadthagen (NiSa)
SHK ;Saale-Holzlandkreis (Thür)
SHL ;Suhl (Thür)
SI ;Siegen-Wittgenstein (NRW)
SIG ;Sigmaringen (BaWü)
SIM ;Rhein-Hunsrück-Kreis / Simmern (RhPf)
SK ;Saalkreis / Halle (SaAn)
SL ;Schleswig-Flensburg (SlHo)
SLF ;Saalfeld-Rudolstadt (Thür)
SLN ;Schmölln (Thür-)
SLS ;Saarlouis (Saar)
SLZ ;Bad Salzungen (Thür-)
SM ;Schmalkalden-Meiningen (Thür)
SN ;Schwerin (MeVo)
SO ;Soest (NRW)
SOK ;Saale-Orla-Kreis (Thür)
SÖM ;Sömmerda (Thür)
SON ;Sonneberg (Thür)
SP ;Speyer (RhPf)
SPB ;Spremberg (Bran-)
SPN ;Spree-Neiße (Bran)
SR ;Straubing-Bogen (Bay)
SRB ;Strausberg (Bran-)
SRO ;Stadtroda (Thür-)
ST ;Steinfurt (NRW)
STA ;Starnberg (Bay)
STB ;Sternberg (MeVo-)
STD ;Stade (NiSa)
STL ;Stollberg (Sachs)
SU ;Rhein-Sieg-Kreis / Siegburg (NRW)
SÜW ;Südl. Weinstraße / Landau (RhPf)
SW ;Schweinfurt (Bay)
SZ ;Salzgitter (NiSa)
SZB ;Schwarzenberg (Sachs-)
TBB ;Main-Tauber-Kreis / Tauberbischofsheim (BaWü)
TET ;Teterow (MeVo-)
TF ;Teltow-Fläming (Bran)
TG ;Torgau (Sachs-)
THL ;Thüringen Landesregierung und Landtag
THW ;Technisches Hilfswerk
TIR ;Tirschenreuth (Bay)
TO ;Torgau-Oschatz (Sachs)
TÖL ;Bad Tölz-Wolfratshausen (Bay)
TP ;Templin/Uckermark (Bran-)
TR ;Trier-Saarburg (RhPf)
TS ;Traunstein (Bay)
TÜ ;Tübingen (BaWü)
TUT ;Tuttlingen (BaWü)
UE ;Uelzen (NiSa)
UEM ;Ueckermünde (MeVo-)
UER ;Uecker-Randow (MeVo)
UH ;Unstrut-Hainich-Kreis (Thür)
UL ;Alb-Donau-Kreis und Ulm (BaWü)
UM ;Uckermark (Bran)
UN ;Unna/Westfalen (NRW)
V ;Vogtlandkreis - Plauen (Sachs)
VB ;Vogelsbergkreis / Lauterbach (Hess)
VEC ;Vechta (NiSa)
VER ;Verden/Aller (NiSa)
VIE ;Viersen (NRW)
VK ;Völklingen (Saar)
VS ;Schwarzwald-Baar-Kreis / Villingen-Schwenningen (BaWü)
W ;Wuppertal (NRW)
WAF ;Warendorf (NRW)
WAK ;Wartburgkreis (Thür)
WB ;Wittenberg (SaAn)
WBS ;Worbis (Thür-)
WDA ;Werdau (Sachs-)
WE ;Weimar (Thür)
WEN ;Weiden/Oberpfalz (Bay)
WES ;Wesel / Mörs (NRW)
WF ;Wolfenbüttel (NiSa)
WHV ;Wilhelmshaven (NiSa)
WI ;Wiesbaden (Hess)
WIL ;Bernkastel-Wittlich/Mosel (RhPf)
WIS ;Wismar/Landkreis (MeVo-)
WK ;Wittstock (Bran-)
WL ;Harburg / Winsen/Luhe (NiSa)
WLG ;Wolgast/Usedom (MeVo-)
WM ;Weilheim-Schongau/Oberbayern (Bay)
WMS ;Wolmirstedt (SaAn-)
WN ;Rems-Murr-Kreis / Waiblingen (BaWü)
WND ;St. Wendel (Saar)
WO ;Worms (RhPf)
WOB ;Wolfsburg (NiSa)
WR ;Wernigerode (SaAn)
WRN ;Waren/Müritz (MeVo-)
WSF ;Weißenfels (SaAn)
WST ;Ammerland / Westerstede (NiSa)
WSW ;Weißwasser (Sachs-)
WT ;Waldshut-Tiengen (BaWü)
WTM ;Wittmund (NiSa)
WÜ ;Würzburg (Bay)
WUG ;Weißenburg-Gunzenhausen (Bay)
WUN ;Wunsiedel (Bay)
WUR ;Wurzen (Sachs-)
WW ;Westerwald / Montabaur (RhPf)
WZL ;Wanzleben (SaAn-)
X ;Bundeswehr für NATO-Hauptquartiere
Y ;Bundeswehr
Z ;Zwickauer Land (Sachs)
ZE ;Zerbst (SaAn-)
ZI ;Sächsischer Oberlausitzkreis Zittau (Sachs)
ZP ;Zschopau (Sachs-)
ZR ;Zeulenroda (Thür-)
ZS ;Zossen (Bran-)
ZW ;Zweibrücken (RhPf)
ZZ ;Zeitz (SaAn-)
